date,site_id,site_name,city,country,capacity_mw,cooling_type,energy_tariff_per_kwh,grid_emission_factor,renewable_energy_percent,building_age_years,sla_target_percent,total_facility_energy_kwh,it_equipment_energy_kwh,cooling_energy_kwh,lighting_energy_kwh,backup_power_kwh,peak_demand_kw,temperature_celsius,humidity_percent,server_count,active_servers,idle_servers,avg_cpu_utilization_percent,storage_utilization_percent,ai_workload_percent,revenue_usd,energy_cost_usd,cooling_cost_usd,maintenance_cost_usd,downtime_minutes,sla_penalty_usd,gross_margin_percent,renewable_kwh,fossil_power_kwh,scope_2_emissions_tco2e,carbon_intensity_kg_per_kwh,pue,non_it_energy_kwh,energy_waste_cost_usd,revenue_leakage_usd,target_pue,risk_level
2024-01-01,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1115941.79,652323.69,393154.87,16696.84,0.0,58952.48,25.74,60.27,5200,4193,1007,64.75,58.56,31.11,535386.4,122753.6,43247.04,47683.87,0.0,0.0,68.17,200869.52,915072.26,658.85,0.5904,1.711,463618.1,11532.41,11532.41,1.55,High
2024-01-01,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1189174.51,833945.11,262054.12,22553.38,0.0,63263.22,18.6,69.49,7200,5554,1646,64.93,74.95,44.12,776363.25,107025.71,23584.87,59781.38,0.0,0.0,78.51,499453.3,689721.22,427.63,0.3596,1.426,355229.4,5701.37,5701.37,1.35,Medium
2024-01-01,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,757422.82,442973.01,264079.56,11781.24,0.0,39298.13,23.8,51.96,4100,2360,1740,42.95,66.22,20.3,446189.91,90890.74,31689.55,43983.41,0.0,0.0,69.77,113613.42,643809.4,482.86,0.6375,1.71,314449.81,8497.76,8497.76,1.55,Medium
2024-01-01,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1053833.81,675620.32,278146.02,29394.77,0.0,58268.18,23.47,56.44,6100,3738,2362,49.33,58.66,29.19,638213.88,105383.38,27814.6,39125.7,0.0,0.0,77.36,368841.84,684991.98,452.09,0.429,1.56,378213.49,7418.43,7418.43,1.45,Medium
2024-01-01,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,596322.07,350022.69,195824.13,10477.07,4733.3,30809.26,24.05,85.21,3300,2230,1070,52.34,51.18,36.96,321031.84,56650.6,18603.29,39559.89,0.0,0.0,70.03,166970.18,429351.89,291.96,0.4896,1.704,246299.38,5109.76,5109.76,1.55,Medium
2024-01-02,DC001,Mumbai Core DC,Mumbai,India,45,Air Cooling,0.11,0.72,18,9,99.9,1162643.79,655114.6,415217.22,24185.37,4637.02,64466.84,28.44,62.72,5200,3887,1313,59.32,71.35,16.11,554972.67,127890.82,45673.89,48584.93,106.4,181107.48,35.57,209275.88,953367.91,686.42,0.5904,1.775,507529.19,16193.78,197301.26,1.55,High
2024-01-02,DC002,Bengaluru AI Hub,Bengaluru,India,60,Liquid Cooling,0.09,0.62,42,4,99.95,1197314.61,824113.28,264129.3,34950.95,7931.07,59455.22,23.47,64.89,7200,5926,1274,65.31,66.11,34.99,828159.51,107758.32,23771.64,70865.26,0.0,0.0,78.43,502872.14,694442.47,430.55,0.3596,1.453,373201.33,7628.55,7628.55,1.35,Medium
2024-01-02,DC003,Delhi Enterprise DC,Delhi,India,35,Air Cooling,0.12,0.75,15,12,99.9,909962.17,506716.06,333687.8,15108.97,0.0,50099.67,29.12,48.59,4100,3375,725,64.44,72.53,26.6,463780.46,109195.46,40042.54,40256.04,0.0,0.0,67.78,136494.32,773467.84,580.1,0.6375,1.796,403246.1,14946.27,14946.27,1.55,Medium
2024-01-02,DC004,Hyderabad Cloud DC,Hyderabad,India,50,Hybrid Cooling,0.1,0.66,35,6,99.95,1016289.42,653451.49,280763.61,25114.58,0.0,49773.23,25.12,68.55,6100,3495,2605,39.87,67.46,15.8,625628.26,101628.94,28076.36,51179.57,0.0,0.0,75.58,355701.3,660588.12,435.99,0.429,1.555,362837.93,6878.48,6878.48,1.45,Medium
2024-01-02,DC005,Pune Backup DC,Pune,India,30,Air Cooling,0.095,0.68,28,8,99.8,590829.96,350358.38,195058.32,13446.6,3624.65,31289.48,20.25,74.74,3300,2579,721,61.29,86.38,36.87,328374.56,56128.85,18530.54,31274.46,0.0,0.0,73.38,165432.39,425397.57,289.27,0.4896,1.686,240471.58,4538.57,4538.57,1.55,Medium
